creating an lstm...	
missing seed text, using uniform probability over first character	
--------------------------	
b0,On,1,55,0
3,8c14,On,1,40,0
3,8c14,On,1,55,110
3,8c14,On,1,55,100
3,8c14,On,1,56,100
3,8c14,On,1,53,100
3,8c14,On,1,36,100
3,8c14,On,1,36,100
3,8c1b,On,1,36,0
3,8c1b,On,1,53,0
3,8c5,On,1,46,100
3,8c5,On,1,73,100
3,8c55,On,1,70,0
3,8c55,On,1,61,0
3,8c5a,On,1,68,100
3,8c5a,On,1,53,100
3,8c5a,On,1,60,100
3,8c60,On,1,61,0
3,8c67,On,1,60,0
3,8c6a,On,1,46,100
3,8c6a,On,1,61,100
3,8c6b,On,1,61,0
3,8c6f,On,1,72,100
3,8c8,On,1,60,0
3,8c8,On,1,60,0
3,8c9,On,1,56,100
3,8c90,On,1,61,0
3,8c90,On,1,61,0
3,8c92,On,1,67,100
3,8c92,On,1,53,100
3,8c92,On,1,56,100
3,8c92,On,1,69,100
3,8c92,On,1,69,100
3,8c92,On,1,56,100
3,8c92,On,1,67,100
3,8c92,On,1,69,100
3,8c9d,On,1,69,0
3,8c9d,On,1,64,0
3,8ca4,On,1,69,100
3,8ca4,On,1,66,100
3,8ca4,On,1,85,100
3,8caa,On,1,85,0
3,8caa,On,1,64,0
3,8caa,On,1,64,0
3,8cb4,On,1,69,100
3,8cb4,On,1,64,100
3,8cb4,On,1,85,100
3,8cd1,On,1,85,0
3,8cd1,On,1,64,0
3,8cd1,On,1,64,0
3,8cd1,On,1,63,0
3,8cd1,On,1,64,0
3,8cd1,On,1,64,0
3,8cd1,On,1,64,0
3,8ce6,On,1,64,100
3,8cf0,On,1,64,0
3,8cfe,On,1,69,100
3,8d0b,On,1,75,0
3,8d1f,On,1,64,100
3,8d2b,On,1,62,0
3,8d2b,On,1,69,0
3,8d4a,On,1,69,100
3,8d4a,On,1,85,100
3,8d4e,On,1,85,0
3,8d4e,On,1,64,0
3,8d5,On,1,69,100
3,8d5,On,1,85,100
3,8d64,On,1,85,0
3,8d64,On,1,64,0
3,8d64,On,1,64,0
3,8d64,On,1,64,0
3,8d64,On,1,64,0
3,8d64,On,1,64,0
3,8d8c,On,1,64,100
3,8d8c,On,1,85,100
3,8d99,On,1,85,0
3,8d99,On,1,69,0
3,8d99,On,1,64,0
3,8da7,On,1,64,100
3,8dc2,On,1,64,100
3,8dc2,On,1,85,100
3,8dce,On,1,85,0
3,8dce,On,1,64,0
3,8dce,On,1,75,0
3,8dce,On,1,64,0
3,8dd0,On,1,64,100
3,8dda,On,1,64,0
3,8df1,On,1,64,100
3,8df1,On,1,69,100
3,8df1,On,1,85,100
3,8dff,On,1,85,0
3,8dff,On,1,64,0
3,8e04,On,1,64,100
3,8e04,On,1,85,100
3,8e17,On,1,85,0
3,8e17,On,1,69,0
3,8e27,On,1,64,100
3,8e27,On,1,85,100
3,8e34,On,1,85,0
3,8e34,On,1,69,0
3,8e41,On,1,85,100
3,8e4c,On,1,85,0
3,8e6c,On,1,54,100
3,8e6c,On,1,69,100
3,8e6c,On,1,85,100
3,8e72,On,1,85,0
3,8e72,On,1,75,0
3,8e72,On,1,64,0
3,8e72,On,1,64,0
3,8e72,On,1,64,0
3,8e72,On,1,74,0
3,8e72,On,1,64,0
3,8e72,On,1,64,0
3,8e72,On,1,64,0
3,8e72,On,1,64,0
